,Accident_Severity,light_Darkness - lights lit,light_Darkness - no lighting,light_Daylight,road_Dual carriageway,road_On/off ramp,road_One way street,road_Roundabout,road_Single carriageway,speed_Over 40 km/s,speed_Under 40 km/s,area_Rural,area_Urban,age_Adolescent,age_Adult,age_Senior,vehicle_Bike,vehicle_Car,vehicle_Goods,vehicle_Motorcycle
7225,Fatal,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0
10525,Fatal,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0
10596,Fatal,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0
10661,Fatal,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0
10664,Fatal,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0
10688,Fatal,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0
10759,Fatal,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0
10761,Fatal,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0
10801,Fatal,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0
10861,Fatal,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
10862,Fatal,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
10940,Fatal,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0
10976,Fatal,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0
10982,Fatal,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
10983,Fatal,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
11193,Fatal,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0
11216,Fatal,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0
11217,Fatal,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0
11246,Fatal,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0
11274,Fatal,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0
11304,Fatal,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0
11379,Fatal,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0
11380,Fatal,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0
11410,Fatal,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0
11468,Fatal,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
11469,Fatal,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
11592,Fatal,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
11707,Fatal,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1
11800,Fatal,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0
11847,Fatal,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
11848,Fatal,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
11885,Fatal,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
12013,Fatal,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0
12057,Fatal,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0
12071,Fatal,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0
12074,Fatal,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1
12111,Fatal,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
12120,Fatal,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0
12126,Fatal,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0
12223,Fatal,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0
12229,Fatal,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0
12230,Fatal,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0
12314,Fatal,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0
12332,Fatal,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0
12373,Fatal,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0
12374,Fatal,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0
12375,Fatal,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0
12376,Fatal,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0
